paper_id,version_id,title,abstract,published,updated,authors,categories,source_url,metadata_url,metadata_source,collected_at,period,field
2509.00981,2509.00981,Enhanced Mean Field Game for Interactive Decision-Making with Varied Stylish Multi-Vehicles,"This paper presents an MFG-based decision-making framework for autonomous driving in heterogeneous traffic. To capture diverse human behaviors, we propose a quantitative driving style representation that maps abstract traits to parameters such as speed, safety factors, and reaction time. These parameters are embedded into the MFG through a spatial influence field model. To ensure safe operation in dense traffic, we introduce a safety-critical lane-changing algorithm that leverages dynamic safety margins, time-to-collision analysis, and multi-layered constraints. Real-world NGSIM data is employed for style calibration and empirical validation. Experimental results demonstrate zero collisions across six style combinations, two 15-vehicle scenarios, and NGSIM-based trials, consistently outperforming conventional game-theoretic baselines. Overall, our approach provides a scalable, interpretable, and behavior-aware planning framework for real-world autonomous driving applications.",2025-08-31,2026-08-26T07:47:46.906454,"Lin Zheng; Zhen Tian; Yangfan He; Shuo Liu; Huilin Chen; Yuan, Fujiang; Yanhong Peng",Transportation and Mobility Innovations; Autonomous Vehicle Technology and Safety; Traffic control and management,https://arxiv.org/abs/2509.00981,https://openalex.org/W4414757761,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00831,2509.00831,UPGS: Unified Pose-aware Gaussian Splatting for Dynamic Scene Deblurring,"Reconstructing dynamic 3D scenes from monocular video has broad applications in AR/VR, robotics, and autonomous navigation, but often fails due to severe motion blur caused by camera and object motion. Existing methods commonly follow a two-step pipeline, where camera poses are first estimated and then 3D Gaussians are optimized. Since blurring artifacts usually undermine pose estimation, pose errors could be accumulated to produce inferior reconstruction results. To address this issue, we introduce a unified optimization framework by incorporating camera poses as learnable parameters complementary to 3DGS attributes for end-to-end optimization. Specifically, we recast camera and object motion as per-primitive SE(3) affine transformations on 3D Gaussians and formulate a unified optimization objective. For stable optimization, we introduce a three-stage training schedule that optimizes camera poses and Gaussians alternatively. Particularly, 3D Gaussians are first trained with poses being fixed, and then poses are optimized with 3D Gaussians being untouched. Finally, all learnable parameters are optimized together. Extensive experiments on the Stereo Blur dataset and challenging real-world sequences demonstrate that our method achieves significant gains in reconstruction quality and pose estimation accuracy over prior dynamic deblurring methods.",2025-08-31,2026-08-26T07:47:46.906454,Zhijing Wu; Longguang Wang,Advanced Image Processing Techniques; Advanced Vision and Imaging; Generative Adversarial Networks and Image Synthesis,https://arxiv.org/abs/2509.00831,https://openalex.org/W4416168449,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00834,2509.00834,Neuro-Symbolic Predictive Process Monitoring,"This paper addresses the problem of suffix prediction in Business Process Management (BPM) by proposing a Neuro-Symbolic Predictive Process Monitoring (PPM) approach that integrates data-driven learning with temporal logic-based prior knowledge. While recent approaches leverage deep learning models for suffix prediction, they often fail to satisfy even basic logical constraints due to the lack of explicit integration of domain knowledge during training. We propose a novel method to incorporate Linear Temporal Logic over finite traces (LTLf) into the training process of autoregressive sequence predictors. Our approach introduces a differentiable logical loss function, defined using a soft approximation of LTLf semantics and the Gumbel-Softmax trick, which can be combined with standard predictive losses. This ensures that the model learns to generate suffixes that are both accurate and logically consistent. Experimental evaluation on three real-world datasets shows that our method improves suffix prediction accuracy and compliance with temporal constraints. We also introduce two variants of the logic loss (local and global) and demonstrate their effectiveness under noisy and realistic settings. While developed in the context of BPM, our framework is applicable to any symbolic sequence generation task and contributes to advancing Neuro-Symbolic AI.",2025-08-31,2026-08-26T07:47:46.906454,Axel Mezini; Elena Umili; Ivan Donadello; Fabrizio Maria Maggi; Matteo Mancanelli; Fabio Patrizi,Business Process Modeling and Analysis; Machine Learning in Healthcare; Personal Information Management and User Behavior,https://arxiv.org/abs/2509.00834,https://openalex.org/W4416685205,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00789,2509.00789,CogDriver: Integrating Cognitive Inertia for Temporally Coherent Planning in Autonomous Driving,"The pursuit of autonomous agents capable of temporally coherent planning is hindered by a fundamental flaw in current vision-language models (VLMs): they lack cognitive inertia. Operating on isolated snapshots, these models cannot form a continuous understanding of the environment, leading to erratic decision jitter and a failure to execute complex, multi-step maneuvers. To remedy this, we introduce CogDriver, a framework designed to build a stable internal representation by instilling this crucial cognitive property. Our work makes two key contributions: (1) We present CogDriver-Data, a large-scale vision-language-action dataset whose narrative annotations provide the supervisory signal for learning temporal dynamics and persistent intent. (2) We develop the CogDriver-Agent, an architecture featuring a sparse temporal memory to maintain a stable internal state. This is enabled by a spatiotemporal knowledge distillation approach that explicitly teaches decision coherence. Comprehensive experiments validate our paradigm: CogDriver-Agent achieves a 22% increase in the closed-loop Driving Score on Bench2Drive and a 21% reduction in mean L2 error on nuScenes, establishing a new state-of-the-art. These significant gains in both long-term decision-making and imitation accuracy provide strong evidence that our agent successfully maintains a temporally coherent internal state, bridging the gap toward more reliable autonomous driving. Project link: https://ocean-luna.github.io/CogDriver.github.io/.",2025-08-31,2026-08-26T07:47:46.906454,Peng Liu; Qingtian Ning; Xinyan Lu; Haipeng Liu; Wenxiao Ma; Dan She; Peng Jia; Xianpeng Lang; Jun Ma,Multimodal Machine Learning Applications; Explainable Artificial Intelligence (XAI); Advanced Neural Network Applications,https://arxiv.org/abs/2509.00789,https://openalex.org/W4416685291,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00348,2509.00348,Theory Foundation of Physics-Enhanced Residual Learning,"Intensive studies have been conducted in recent years to integrate neural networks with physics models to balance model accuracy and interpretability. One recently proposed approach, named Physics-Enhanced Residual Learning (PERL), is to use learning to estimate the residual between the physics model prediction and the ground truth. Numeral examples suggested that integrating such residual with physics models in PERL has three advantages: (1) a reduction in the number of required neural network parameters; (2) faster convergence rates; and (3) fewer training samples needed for the same computational precision. However, these numerical results lack theoretical justification and cannot be adequately explained. This paper aims to explain these advantages of PERL from a theoretical perspective. We investigate a general class of problems with Lipschitz continuity properties. By examining the relationships between the bounds to the loss function and residual learning structure, this study rigorously proves a set of theorems explaining the three advantages of PERL. Several numerical examples in the context of automated vehicle trajectory prediction are conducted to illustrate the proposed theorems. The results confirm that, even with significantly fewer training samples, PERL consistently achieves higher accuracy than a pure neural network. These results demonstrate the practical value of PERL in real world autonomous driving applications where corner case data are costly or hard to obtain. PERL therefore improves predictive performance while reducing the amount of data required.",2025-08-30,2026-08-26T07:47:46.906454,S. Liang; Wang Chen; Keke Long; Peng Zhang; Xiaopeng Li; Jintao Ke,Autonomous Vehicle Technology and Safety; Model Reduction and Neural Networks; Vehicle Dynamics and Control Systems,https://arxiv.org/abs/2509.00348,https://openalex.org/W4416682801,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00582,2509.00582,Safe and Efficient Lane-Changing for Autonomous Vehicles: An Improved Double Quintic Polynomial Approach with Time-to-Collision Evaluation,"Autonomous driving technology has made significant advancements in recent years, yet challenges remain in ensuring safe and comfortable interactions with human-driven vehicles (HDVs), particularly during lane-changing maneuvers. This paper proposes an improved double quintic polynomial approach for safe and efficient lane-changing in mixed traffic environments. The proposed method integrates a time-to-collision (TTC) based evaluation mechanism directly into the trajectory optimization process, ensuring that the ego vehicle proactively maintains a safe gap from surrounding HDVs throughout the maneuver. The framework comprises state estimation for both the autonomous vehicle (AV) and HDVs, trajectory generation using double quintic polynomials, real-time TTC computation, and adaptive trajectory evaluation. To the best of our knowledge, this is the first work to embed an analytic TTC penalty directly into the closed-form double-quintic polynomial solver, enabling real-time safety-aware trajectory generation without post-hoc validation. Extensive simulations conducted under diverse traffic scenarios demonstrate the safety, efficiency, and comfort of the proposed approach compared to conventional methods such as quintic polynomials, Bezier curves, and B-splines. The results highlight that the improved method not only avoids collisions but also ensures smooth transitions and adaptive decision-making in dynamic environments. This work bridges the gap between model-based and adaptive trajectory planning approaches, offering a stable solution for real-world autonomous driving applications.",2025-08-30,2026-08-28T12:50:07.497085,"Bai, Rui; Rui Xu; Teng Rui; Liu, Jiale; Qi Wei Oung; Hoi Leong Lee; Zhen Tian; Yuan, Fujiang",Autonomous Vehicle Technology and Safety; Traffic control and management; Robotic Path Planning Algorithms,https://arxiv.org/abs/2509.00582,https://openalex.org/W4416684452,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00624,2509.00624,Vehicle-in-Virtual-Environment (VVE) Method for Developing and Evaluating VRU Safety of Connected and Autonomous Driving with Focus on Bicyclist Safety,"Extensive research has already been conducted in the autonomous driving field to help vehicles navigate safely and efficiently. At the same time, plenty of current research on vulnerable road user (VRU) safety is performed which largely concentrates on perception, localization, or trajectory prediction of VRUs. However, existing research still exhibits several gaps, including the lack of a unified planning and collision avoidance system for autonomous vehicles, limited investigation into delay tolerant control strategies, and the absence of an efficient and standardized testing methodology. Ensuring VRU safety remains one of the most pressing challenges in autonomous driving, particularly in dynamic and unpredictable environments. In this two year project, we focused on applying the Vehicle in Virtual Environment (VVE) method to develop, evaluate, and demonstrate safety functions for Vulnerable Road Users (VRUs) using automated steering and braking of ADS. In this current second year project report, our primary focus was on enhancing the previous year results while also considering bicyclist safety.",2025-08-30,2026-08-26T07:47:46.906454,Haochong Chen; Xincheng Cao; Bilin Aksun Güvenç; Levent Güvenç,Autonomous Vehicle Technology and Safety; Human-Automation Interaction and Safety; Robotic Path Planning Algorithms,https://arxiv.org/abs/2509.00624,https://openalex.org/W4416684489,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2508.21824,2508.21824,DriveQA: Passing the Driving Knowledge Test,"If a Large Language Model (LLM) were to take a driving knowledge test today, would it pass? Beyond standard spatial and visual question-answering (QA) tasks on current autonomous driving benchmarks, driving knowledge tests require a complete understanding of all traffic rules, signage, and right-of-way principles. To pass this test, human drivers must discern various edge cases that rarely appear in real-world datasets. In this work, we present DriveQA, an extensive open-source text and vision-based benchmark that exhaustively covers traffic regulations and scenarios. Through our experiments using DriveQA, we show that (1) state-of-the-art LLMs and Multimodal LLMs (MLLMs) perform well on basic traffic rules but exhibit significant weaknesses in numerical reasoning and complex right-of-way scenarios, traffic sign variations, and spatial layouts, (2) fine-tuning on DriveQA improves accuracy across multiple categories, particularly in regulatory sign recognition and intersection decision-making, (3) controlled variations in DriveQA-V provide insights into model sensitivity to environmental factors such as lighting, perspective, distance, and weather conditions, and (4) pretraining on DriveQA enhances downstream driving task performance, leading to improved results on real-world datasets such as nuScenes and BDD, while also demonstrating that models can internalize text and synthetic traffic knowledge to generalize effectively across downstream QA tasks.",2025-08-29,2026-08-26T07:47:46.906454,"Wei, Maolin; Wanzhou Liu; Eshed Ohn-Bar",Human-Automation Interaction and Safety; Autonomous Vehicle Technology and Safety,https://arxiv.org/abs/2508.21824,https://openalex.org/W4415105198,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2508.21271,2508.21271,Mini Autonomous Car Driving based on 3D Convolutional Neural Networks,"Autonomous driving applications have become increasingly relevant in the automotive industry due to their potential to enhance vehicle safety, efficiency, and user experience, thereby meeting the growing demand for sophisticated driving assistance features. However, the development of reliable and trustworthy autonomous systems poses challenges such as high complexity, prolonged training periods, and intrinsic levels of uncertainty. Mini Autonomous Cars (MACs) are used as a practical testbed, enabling validation of autonomous control methodologies on small-scale setups. This simplified and cost-effective environment facilitates rapid evaluation and comparison of machine learning models, which is particularly useful for algorithms requiring online training. To address these challenges, this work presents a methodology based on RGB-D information and three-dimensional convolutional neural networks (3D CNNs) for MAC autonomous driving in simulated environments. We evaluate the proposed approach against recurrent neural networks (RNNs), with architectures trained and tested on two simulated tracks with distinct environmental features. Performance was assessed using task completion success, lap-time metrics, and driving consistency. Results highlight how architectural modifications and track complexity influence the models' generalization capability and vehicle control performance. The proposed 3D CNN demonstrated promising results when compared with RNNs.",2025-08-29,2026-08-26T07:47:46.906454,Pablo Moraes; Monica Rodriguez; Kristofer S. Kappel; Hiago Sodre; Santiago Fernández; Igor Nunes; Bruna Guterres; Ricardo Grando,Autonomous Vehicle Technology and Safety; Vehicle Dynamics and Control Systems; Advanced Neural Network Applications,https://arxiv.org/abs/2508.21271,https://openalex.org/W4415988644,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
2509.00176,2509.00176,Waste-Bench: A Comprehensive Benchmark for Evaluating VLLMs in Cluttered Environments,"Recent advancements in Large Language Models (LLMs) have paved the way for Vision Large Language Models (VLLMs) capable of performing a wide range of visual understanding tasks. While LLMs have demonstrated impressive performance on standard natural images, their capabilities have not been thoroughly explored in cluttered datasets where there is complex environment having deformed shaped objects. In this work, we introduce a novel dataset specifically designed for waste classification in real-world scenarios, characterized by complex environments and deformed shaped objects. Along with this dataset, we present an in-depth evaluation approach to rigorously assess the robustness and accuracy of VLLMs. The introduced dataset and comprehensive analysis provide valuable insights into the performance of VLLMs under challenging conditions. Our findings highlight the critical need for further advancements in VLLM's robustness to perform better in complex environments. The dataset and code for our experiments will be made publicly available.",2025-08-29,2026-08-26T07:47:46.906454,Muhammad Ali; Salman A. Khan,Multimodal Machine Learning Applications; Topic Modeling; Text Readability and Simplification,https://arxiv.org/abs/2509.00176,https://openalex.org/W4416682599,OpenAlex,2026-09-13T06:46:00.069167+00:00,2025년 1~8월,자동차·자율주행
