paper_id,version_id,title,abstract,published,updated,authors,categories,source_url,metadata_url,metadata_source,collected_at,period,field
2505.19158,2505.19158,Revealing Molecule-Internal Mechanisms that Control Phonon Heat Transport through Single-Molecule Junctions by a Genetic Algorithm,"Measurements of the thermal conductance of single-molecule junctions have recently been reported. It is presently unclear how much the heat transport can be controlled through molecule-internal effects. The search for molecules with lowest and highest thermal conductance is complicated by the gigantic chemical space. Here, we describe a systematic search for molecules with a low or a high phononic thermal conductance using a genetic algorithm. Beyond individual structures of well-performing molecules, delivered by the genetic algorithm, we analyze patterns and identify the different physical and chemical mechanisms to suppress or enhance phonon heat flow. In detail, mechanisms revealed to reduce phonon transport are related to the choice of terminal linker blocks, substituents and corresponding mass disorder or destructive interference, meta couplings, and molecule-internal twist. For a high thermal conductance, the molecules should instead be rather uniform and chain-like. The identified mechanisms are systematically analyzed at different levels of theory, and their significance is classified. Our findings are expected to be important for the emerging field of molecular phononics.",2025-08-31,2026-09-11T09:22:31.653822,Matthias Blaschke; Fabian Pauly,Molecular Junctions and Nanostructures; Nanowire Synthesis and Applications; Nanofabrication and Lithography Techniques,https://arxiv.org/abs/2505.19158,https://openalex.org/W4413857472,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00866,2509.00866,Can General-Purpose Omnimodels Compete with Specialists? A Case Study in Medical Image Segmentation,"The emergence of powerful, general-purpose omnimodels capable of processing diverse data modalities has raised a critical question: can these ``jack-of-all-trades'' systems perform on par with highly specialized models in knowledge-intensive domains? This work investigates this question within the high-stakes field of medical image segmentation. We conduct a comparative study analyzing the zero-shot performance of a state-of-the-art omnimodel (Gemini, the ``Nano Banana'' model) against domain-specific deep learning models on three distinct tasks: polyp (endoscopy), retinal vessel (fundus), and breast tumor segmentation (ultrasound). Our study focuses on performance at the extremes by curating subsets of the ``easiest'' and ``hardest'' cases based on the specialist models' accuracy. Our findings reveal a nuanced and task-dependent landscape. For polyp and breast tumor segmentation, specialist models excel on easy samples, but the omnimodel demonstrates greater robustness on hard samples where specialists fail catastrophically. Conversely, for the fine-grained task of retinal vessel segmentation, the specialist model maintains superior performance across both easy and hard cases. Intriguingly, qualitative analysis suggests omnimodels may possess higher sensitivity, identifying subtle anatomical features missed by human annotators. Our results indicate that while current omnimodels are not yet a universal replacement for specialists, their unique strengths suggest a potential complementary role with specialist models, particularly in enhancing robustness on challenging edge cases.",2025-08-31,2026-08-26T07:47:46.906454,Yizhe Zhang; Qiang Chen; Tao Zhou,Artificial Intelligence in Healthcare and Education,https://arxiv.org/abs/2509.00866,https://openalex.org/W4415330608,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00684,2509.00684,Valid Property-Enhanced Contrastive Learning for Targeted Optimization & Resampling for Novel Drug Design,"Efficiently steering generative models toward pharmacologically relevant regions of chemical space remains a major obstacle in molecular drug discovery under low-data regimes. We present VECTOR+: Valid-property-Enhanced Contrastive Learning for Targeted Optimization and Resampling, a framework that couples property-guided representation learning with controllable molecule generation. VECTOR+ applies to both regression and classification tasks and enables interpretable, data-efficient exploration of functional chemical space. We evaluate on two datasets: a curated PD-L1 inhibitor set (296 compounds with experimental $IC_{50}$ values) and a receptor kinase inhibitor set (2,056 molecules by binding mode). Despite limited training data, VECTOR+ generates novel, synthetically tractable candidates. Against PD-L1 (PDB 5J89), 100 of 8,374 generated molecules surpass a docking threshold of $-15.0$ kcal/mol, with the best scoring $-17.6$ kcal/mol compared to the top reference inhibitor ($-15.4$ kcal/mol). The best-performing molecules retain the conserved biphenyl pharmacophore while introducing novel motifs. Molecular dynamics (250 ns) confirm binding stability (ligand RMSD < $2.5$ angstroms). VECTOR+ generalizes to kinase inhibitors, producing compounds with stronger docking scores than established drugs such as brigatinib and sorafenib. Benchmarking against JT-VAE and MolGPT across docking, novelty, uniqueness, and Tanimoto similarity highlights the superior performance of our method. These results position our work as a robust, extensible approach for property-conditioned molecular design in low-data settings, bridging contrastive learning and generative modeling for reproducible, AI-accelerated discovery.",2025-08-31,2026-08-26T07:47:46.906454,Amartya Banerjee; Somnath Kar; Anirban Pal; Debabrata Maiti,Computational Drug Discovery Methods; Machine Learning in Materials Science; Cell Image Analysis Techniques,https://arxiv.org/abs/2509.00684,https://openalex.org/W4416685070,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00704,2509.00704,Why Pool When You Can Flow? Active Learning with GFlowNets,"The scalability of pool-based active learning is limited by the computational cost of evaluating large unlabeled datasets, a challenge that is particularly acute in virtual screening for drug discovery. While active learning strategies such as Bayesian Active Learning by Disagreement (BALD) prioritize informative samples, it remains computationally intensive when scaled to libraries containing billions samples. In this work, we introduce BALD-GFlowNet, a generative active learning framework that circumvents this issue. Our method leverages Generative Flow Networks (GFlowNets) to directly sample objects in proportion to the BALD reward. By replacing traditional pool-based acquisition with generative sampling, BALD-GFlowNet achieves scalability that is independent of the size of the unlabeled pool. In our virtual screening experiment, we show that BALD-GFlowNet achieves a performance comparable to that of standard BALD baseline while generating more structurally diverse molecules, offering a promising direction for efficient and scalable molecular discovery.",2025-08-31,2026-08-26T07:47:46.906454,Rui Zhang; Mohit Pandey; Artem Cherkasov; Martin Ester,Machine Learning and Algorithms; Machine Learning in Materials Science; Machine Learning and Data Classification,https://arxiv.org/abs/2509.00704,https://openalex.org/W4416685146,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00808,2509.00808,Adaptive Contrast Adjustment Module: A Clinically-Inspired Plug-and-Play Approach for Enhanced Fetal Plane Classification,"Fetal ultrasound standard plane classification is essential for reliable prenatal diagnosis but faces inherent challenges, including low tissue contrast, boundary ambiguity, and operator-dependent image quality variations. To overcome these limitations, we propose a plug-and-play adaptive contrast adjustment module (ACAM), whose core design is inspired by the clinical practice of doctors adjusting image contrast to obtain clearer and more discriminative structural information. The module employs a shallow texture-sensitive network to predict clinically plausible contrast parameters, transforms input images into multiple contrast-enhanced views through differentiable mapping, and fuses them within downstream classifiers. Validated on a multi-center dataset of 12,400 images across six anatomical categories, the module consistently improves performance across diverse models, with accuracy of lightweight models increasing by 2.02 percent, accuracy of traditional models increasing by 1.29 percent, and accuracy of state-of-the-art models increasing by 1.15 percent. The innovation of the module lies in its content-aware adaptation capability, replacing random preprocessing with physics-informed transformations that align with sonographer workflows while improving robustness to imaging heterogeneity through multi-view fusion. This approach effectively bridges low-level image features with high-level semantics, establishing a new paradigm for medical image analysis under real-world image quality variations.",2025-08-31,2026-08-26T07:47:46.906454,Yang Chen; Sanglin Zhao; Baoyu Chen; Måns Gustaf,Fetal and Pediatric Neurological Disorders; Prenatal Screening and Diagnostics; Domain Adaptation and Few-Shot Learning,https://arxiv.org/abs/2509.00808,https://openalex.org/W4416685797,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00937,2509.00937,Parallelizing Drug Discovery: HPC Pipelines for Alzheimer's Molecular Docking and Simulation,"High-performance computing (HPC) is reshaping computational drug discovery by enabling large-scale, time-efficient molecular simulations. In this work, we explore HPC-driven pipelines for Alzheimer's disease drug discovery, focusing on virtual screening, molecular docking, and molecular dynamics simulations. We implemented a parallelised workflow using GROMACS with hybrid MPI-OpenMP strategies, benchmarking scaling performance across energy minimisation, equilibration, and production stages. Additionally, we developed a docking prototype that demonstrates significant runtime gains when moving from sequential execution to process-based parallelism using Python's multiprocessing library. Case studies on prolinamide derivatives and baicalein highlight the biological relevance of these workflows in targeting amyloid-beta and tau proteins. While limitations remain in data management, computational costs, and scaling efficiency, our results underline the potential of HPC to accelerate neurodegenerative drug discovery.",2025-08-31,2026-08-26T07:47:46.906454,Paul Ruiz Alliata; Diana Rubaga; Daniel Kumlin; Alberto Puliga,Protein Structure and Dynamics; Computational Drug Discovery Methods; Alzheimer's disease research and treatments,https://arxiv.org/abs/2509.00937,https://openalex.org/W4416686031,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.04476,2509.04476,Training Text-to-Molecule Models with Context-Aware Tokenization,"Recently, text-to-molecule models have shown great potential across various chemical applications, e.g., drug-discovery. These models adapt language models to molecular data by representing molecules as sequences of atoms. However, they rely on atom-level tokenizations, which primarily focus on modeling local connectivity, thereby limiting the ability of models to capture the global structural context within molecules. To tackle this issue, we propose a novel text-to-molecule model, coined Context-Aware Molecular T5 (CAMT5). Inspired by the significance of the substructure-level contexts in understanding molecule structures, e.g., ring systems, we introduce substructure-level tokenization for text-to-molecule models. Building on our tokenization scheme, we develop an importance-based training strategy that prioritizes key substructures, enabling CAMT5 to better capture the molecular semantics. Extensive experiments verify the superiority of CAMT5 in various text-to-molecule generation tasks. Intriguingly, we find that CAMT5 outperforms the state-of-the-art methods using only 2% of training tokens. In addition, we propose a simple yet effective ensemble strategy that aggregates the outputs of text-to-molecule models to further boost the generation performance. Code is available at https://github.com/Songhyeontae/CAMT5.git.",2025-08-30,2026-08-26T07:47:46.906454,"Seojin Kim; Song, Hyeontae; Jae Hyun Nam; Jinwoo Shin",Machine Learning in Materials Science; Scientific Computing and Data Management; DNA and Biological Computing,https://arxiv.org/abs/2509.04476,https://openalex.org/W4414758313,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00437,2509.00437,A Hybrid AI-based and Rule-based Approach to DICOM De-identification: A Solution for the MIDI-B Challenge,"Ensuring the de-identification of medical imaging data is a critical step in enabling safe data sharing. This paper presents a hybrid de-identification framework designed to process Digital Imaging and Communications in Medicine (DICOM) files. Our framework adopts a modified, pre-built rule-based component, updated with The Cancer Imaging Archive (TCIA)'s best practices guidelines, as outlined in DICOM PS 3.15, for improved performance. It incorporates PaddleOCR, a robust Optical Character Recognition (OCR) system for extracting text from images, and RoBERTa, a fine-tuned transformer-based model for identifying and removing Personally Identifiable Information (PII) and Protected Health Information (PHI). Initially, the transformer-based model and the rule-based component were integrated to process for both structured data and free text. However, this coarse-grained approach did not yield optimal results. To improve performance, we refined our approach by applying the transformer model exclusively to free text, while structured data was handled only by rule-based methods. In this framework the DICOM validator dciodvfy was leveraged to ensure the integrity of DICOM files after the deID process. Through iterative refinement, including the incorporation of custom rules and private tag handling, the framework achieved a de-identification accuracy of 99.91% on the MIDI-B test dataset. The results demonstrate the effectiveness of combining rule-based compliance with AI-enabled adaptability in addressing the complex challenges of DICOM de-identification.",2025-08-30,2026-08-26T07:47:46.906454,Hamideh Haghiri; Rajesh Baidya; С. И. Дворецкий; Klaus H. Maier-Hein; Marco Nolden,AI in cancer detection; Handwritten Text Recognition Techniques; Medical Imaging and Analysis,https://arxiv.org/abs/2509.00437,https://openalex.org/W4416168360,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00626,2509.00626,Towards Methane Detection Onboard Satellites,"Methane is a potent greenhouse gas and a major driver of climate change, making its timely detection critical for effective mitigation. Machine learning (ML) deployed onboard satellites can enable rapid detection while reducing downlink costs, supporting faster response systems. Conventional methane detection methods often rely on image processing techniques, such as orthorectification to correct geometric distortions and matched filters to enhance plume signals. We introduce a novel approach that bypasses these preprocessing steps by using \textit{unorthorectified} data (UnorthoDOS). We find that ML models trained on this dataset achieve performance comparable to those trained on orthorectified data. Moreover, we also train models on an orthorectified dataset, showing that they can outperform the matched filter baseline (mag1c). We release model checkpoints and two ML-ready datasets comprising orthorectified and unorthorectified hyperspectral images from the Earth Surface Mineral Dust Source Investigation (EMIT) sensor at https://huggingface.co/datasets/SpaceML/UnorthoDOS , along with code at https://github.com/spaceml-org/plume-hunter.",2025-08-30,2026-08-26T07:47:46.906454,"Maggie Chen; Hala Lambdouar; Marini, Luca; Laura Martínez-Ferrer; Christopher Bridges; Giacomo Acciarini",Atmospheric and Environmental Gas Dynamics; Remote-Sensing Image Classification; Spectroscopy and Laser Applications,https://arxiv.org/abs/2509.00626,https://openalex.org/W4416378795,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
2509.00549,2509.00549,A Modality-agnostic Multi-task Foundation Model for Human Brain Imaging,"Recent learning-based approaches have made astonishing advances in calibrated medical imaging like computerized tomography (CT), yet they struggle to generalize in uncalibrated modalities -- notably magnetic resonance (MR) imaging, where performance is highly sensitive to the differences in MR contrast, resolution, and orientation. This prevents broad applicability to diverse real-world clinical protocols. Here we introduce BrainFM, a modality-agnostic, multi-task vision foundation model for human brain imaging. With the proposed ""mild-to-severe"" intra-subject generation and ""real-synth"" mix-up training strategy, BrainFM is resilient to the appearance of acquired images (e.g., modality, contrast, deformation, resolution, artifacts), and can be directly applied to five fundamental brain imaging tasks, including image synthesis for CT and T1w/T2w/FLAIR MRI, anatomy segmentation, scalp-to-cortical distance, bias field estimation, and registration. We evaluate the efficacy of BrainFM on eleven public datasets, and demonstrate its robustness and effectiveness across all tasks and input modalities. Code is available at https://github.com/jhuldr/BrainFM.",2025-08-30,2026-08-26T07:47:46.906454,Peirong Liu; Oula Puonti; Xiaoling Hu; Karthik Gopinath; Annabel Sorby‐Adams; Daniel C. Alexander; W. Taylor Kimberly; Juan Eugenio Iglesias,Advanced MRI Techniques and Applications; Medical Image Segmentation Techniques; Advanced Neural Network Applications,https://arxiv.org/abs/2509.00549,https://openalex.org/W4416684413,OpenAlex,2026-09-13T06:46:07.361358+00:00,2025년 1~8월,바이오·의료 AI
