paper_id,version_id,title,abstract,published,updated,authors,categories,source_url,metadata_url,metadata_source,collected_at,period,field
2508.21796,2508.21796,Road map for the tuning of hadronic interaction models with accelerator-based and astroparticle data,"In high-energy and astroparticle physics, event generators play an essential role, even in the simplest data analyses. As analysis techniques become more sophisticated, e.g. based on deep neural networks, their correct description of the observed event characteristics becomes even more important. Physical processes occurring in hadronic collisions are simulated within a Monte Carlo framework. A major challenge is the modeling of hadron dynamics at low momentum transfer, which includes the initial and final phases of every hadronic collision. QCD-inspired phenomenological models used for these phases cannot guarantee completeness or correctness over the full phase space. These models usually include parameters which must be tuned to suitable experimental data. Until now, event generators have been developed and tuned mainly on the basis of data from high-energy physics experiments at accelerators. The wealth of data available from the latest generation of astroparticle experiments has not yet been fully exploited, and in many cases is not satisfactorily described. Both kinds of data sets are complementary as astroparticle experiments provide sensitivity especially to hadrons produced nearly parallel to the collision axis and cover center-of-mass energies up to several hundred TeV, well beyond those reached at colliders so far. In this report, we provide an overview of state-of-the-art event generators and their tuning, including the most relevant inputs from high-energy accelerator and astroparticle experiments. We present a road map that shows, for the first time, how the unified tuning of event generators with accelerator-based and astroparticle data can be performed.",2025-08-29,2026-09-11T09:22:31.653822,"J Albrecht; J. Becker Tjus; N. B. Behling; Jiří Blažek; Marcus Bleicher; J. A. Boelhauve; L. Cazon; R. Conceição; H.-P. Dembinski; Dietrich, Luca; Jan Ebr; J. Ellbracht; R. Engel; Anatoli Fedynitch; Max Fieg; Maria Vittoria Garzelli; Chloé Gaudu; G. Graziani; Pascal Gutjahr; A. Haungs; T Huege; Karolin Hymon; Mirco Hünnefeld; K.-H. Kampert; Leonora Kardum; Lars Kolk; N. Korneeva; Kröninger, Kevin; A. Maire; H. Menjo; Leonel Morejón; S. Ostapchenko; Petja Paakkinen; T. Pierog; Pavlo Plotko; Anton Prosekin; Lilly Pyras; Pöschl, Thomas; J. Rautenberg; M. Reininghaus; W. Rhode; Felix Riehn; M. Roth; Alexander Sandrock; Ina Sarčević; M. Schmelling; G. Sigl; Torbjörn Sjöstrand; Dennis Soldin; Michael A. Unger; Marius Utheim; J. Vícha; K. Werner; Michael Windau; V. Zhukov",Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance,https://arxiv.org/abs/2508.21796,https://openalex.org/W4415330694,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.21524,2508.21524,Binary Weight Multi-Bit Activation Quantization for Compute-in-Memory CNN Accelerators,"Compute-in-memory (CIM) accelerators have emerged as a promising way for enhancing the energy efficiency of convolutional neural networks (CNNs). Deploying CNNs on CIM platforms generally requires quantization of network weights and activations to meet hardware constraints. However, existing approaches either prioritize hardware efficiency with binary weight and activation quantization at the cost of accuracy, or utilize multi-bit weights and activations for greater accuracy but limited efficiency. In this paper, we introduce a novel binary weight multi-bit activation (BWMA) method for CNNs on CIM-based accelerators. Our contributions include: deriving closed-form solutions for weight quantization in each layer, significantly improving the representational capabilities of binarized weights; and developing a differentiable function for activation quantization, approximating the ideal multi-bit function while bypassing the extensive search for optimal settings. Through comprehensive experiments on CIFAR-10 and ImageNet datasets, we show that BWMA achieves notable accuracy improvements over existing methods, registering gains of 1.44\%-5.46\% and 0.35\%-5.37\% on respective datasets. Moreover, hardware simulation results indicate that 4-bit activation quantization strikes the optimal balance between hardware cost and model performance.",2025-08-29,2026-08-26T07:47:46.906454,Weitao Zhou; Zhengwu Liu; Yuan Ren; Ngai Wong,Advanced Neural Network Applications; Advanced Memory and Neural Computing; Big Data and Digital Economy,https://arxiv.org/abs/2508.21524,https://openalex.org/W4415991067,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.21287,2508.21287,$Δ$-Motif: Parallel Subgraph Isomorphism via Tabular Operations for Scalable Layout Selection,"Subgraph isomorphism is a fundamental problem in graph analysis that seeks to find all instances of a pattern graph within a larger data graph while preserving structural relationships. This NP-complete problem is central to domains such as biological network analysis, social network mining, and quantum circuit optimization. Traditional approaches rely on backtracking algorithms like VF2, which suffer from sequential bottlenecks that limit their ability to exploit modern parallel hardware. In this work, we introduce $Δ$-Motif, a GPU-accelerated subgraph isomorphism algorithm that reformulates the task through the lens of database operations. Our key insight is to represent both data and pattern graphs in tabular form, turning subgraph isomorphism into database primitives including joins, sorts, merges, and filters. $Δ$-Motif decomposes graphs into small building blocks called motifs and systematically combines them using scalable relational operations. By leveraging mature, optimized libraries from the NVIDIA RAPIDS ecosystem and Pandas framework, our solution achieves massive parallelism while remaining portable across systems supporting standard relational primitives. Benchmarks show that $Δ$-Motif outperforms established algorithms like VF2, achieving speedups of up to $595\times$ on GPUs. We further demonstrate its impact by applying it to quantum circuit compilation, addressing a critical bottleneck in quantum computing and enabling scaling to near- and medium-term devices. Our approach democratizes high-performance graph processing by exposing it through familiar database abstractions, eliminating the need for low-level programming while delivering exceptional computational efficiency.",2025-08-29,2026-09-06T09:10:53.072986,Yulun Wang; Esteban Ginez; Jamie Friel; Yuval Baum; Jin Sung Kim; Alex Shih; Oded Green,Graph Theory and Algorithms; Advanced Graph Neural Networks; Quantum Computing Algorithms and Architecture,https://arxiv.org/abs/2508.21287,https://openalex.org/W4416681825,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2506.09862,2506.09862,Guided graph compression for quantum graph neural networks,"Abstract Graph neural networks (GNNs) are effective for processing graph-structured data but face challenges with large graphs due to high memory requirements and inefficient sparse matrix operations on GPUs. Quantum computing offers a promising avenue to address these issues and inspires new algorithmic approaches. In particular, quantum GNNs (QGNNs) have been explored in recent literature. However, current quantum hardware limits the dimension of the data that can be effectively encoded. Existing approaches either simplify datasets manually or use artificial graph datasets. This work introduces the guided graph compression (GGC) framework, which uses a graph autoencoder to reduce both the number of nodes and the dimensionality of node features. The compression is guided to enhance the performance of a downstream classification task, which can be applied either with a quantum or a classical classifier. The framework is evaluated on the Jet Tagging task, a classification problem of fundamental importance in high energy physics that involves distinguishing particle jets initiated by quarks from those by gluons. We compare GGC to a model that uses the autoencoder as a preprocessing step and to a baseline classical GNN classifier. Our numerical results demonstrate that GGC outperforms both alternatives, while also facilitating the testing of novel QGNN ansatzes on realistic datasets.",2025-08-27,2026-09-03T10:48:47.769340,Mikel Casals; Vasilis Belis; Elías F. Combarro; Eduard Alarcón; S. Vallecorsa; Michele Grossi,Advanced Graph Neural Networks; Advanced Memory and Neural Computing; Quantum-Dot Cellular Automata,https://arxiv.org/abs/2506.09862,https://openalex.org/W4413754257,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2511.05615,2511.05615,wa-hls4ml: A Benchmark and Surrogate Models for hls4ml Resource and Latency Estimation,"As machine learning (ML) is increasingly implemented in hardware to address real-time challenges in scientific applications, the development of advanced toolchains has significantly reduced the time required to iterate on various designs. These advancements have solved major obstacles, but also exposed new challenges. For example, processes that were not previously considered bottlenecks, such as hardware synthesis, are becoming limiting factors in the rapid iteration of designs. To mitigate these emerging constraints, multipleefforts have been undertaken to develop an ML-based surrogate model that estimates resource usage of synthesized ML accelerator architectures. We introduce wa-hls4ml, a benchmark for ML accelerator resource and latency estimation, and its corresponding initial dataset of over 680 000 fully connected and convolutional neural networks, all synthesized using hls4ml and targeting Xilinx FPGAs. The benchmark evaluates the performance of resource and latency predictors against several common ML model architectures, primarily originating from scientific domains, as exemplar models, and the average performance across a subset of the dataset. Additionally, we introduce GNN- and transformer-based surrogate models that predict latency and resources for ML accelerators. We present the architecture and performance of the models and find that the models generally predict latency and resources for the 75% percentile within several percent of the synthesized resources on the synthetic test dataset.",2025-08-25,2026-09-03T10:48:47.769340,"Benjamin Hawks; Columbia U.; UC, San Diego; Johns Hopkins U.; Sherbrooke U.; CERN; Jason Weitz; Dmitri Demler; Karla Tame-Narvaez; Dennis Plotnikov; Mohammad Mehdi Rahimifar; Hilal Rahali; Audrey Corbeil Therrien; Donovan Sproule; E. E. Khoda; Keegan Smith; Russell D. Marroquin; Giuseppe Di Guglielmo; Nhan Viet Tran; J. Duarte; Vladimir Lončar",Semantic Web and Ontologies,https://arxiv.org/abs/2511.05615,https://openalex.org/W4415220943,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.15413,2508.15413,Bridging Generalization and Personalization in Human Activity Recognition via On-Device Few-Shot Learning,"Human Activity Recognition (HAR) with different sensing modalities requires both strong generalization across diverse users and efficient personalization for individuals. However, conventional HAR models often fail to generalize when faced with user-specific variations, leading to degraded performance. To address this challenge, we propose a novel on-device few-shot learning framework that bridges generalization and personalization in HAR. Our method first trains a generalizable representation across users and then rapidly adapts to new users with only a few labeled samples, updating lightweight classifier layers directly on resource-constrained devices. This approach achieves robust on-device learning with minimal computation and memory cost, making it practical for real-world deployment. We implement our framework on the energy-efficient RISC-V GAP9 microcontroller and evaluate it on three benchmark datasets (RecGym, QVAR-Gesture, Ultrasound-Gesture). Across these scenarios, post-deployment adaptation improves accuracy by 3.73\%, 17.38\%, and 3.70\%, respectively. These results demonstrate that few-shot on-device learning enables scalable, user-aware, and energy-efficient wearable human activity recognition by seamlessly uniting generalization and personalization. The related framework is open sourced for further research\footnote{https://github.com/kangpx/onlineTiny2023}.",2025-08-21,2026-08-26T07:47:46.906454,Pixi Kang; Julian Moosmann; Mengxi Liu; Bo Zhou; Michele Magno; Paul Lukowicz; Sizhen Bian,Context-Aware Activity Recognition Systems; Advanced Technologies in Various Fields,https://arxiv.org/abs/2508.15413,https://openalex.org/W4415058590,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.15160,2508.15160,Hardware Implementation of a Zero-Prior-Knowledge Approach to Lifelong Learning in Kinematic Control of Tendon-Driven Quadrupeds,"Like mammals, robots must rapidly learn to control their bodies and interact with their environment despite incomplete knowledge of their body structure and surroundings. They must also adapt to continuous changes in both. This work presents a bio-inspired learning algorithm, General-to-Particular (G2P), applied to a tendon-driven quadruped robotic system developed and fabricated in-house. Our quadruped robot undergoes an initial five-minute phase of generalized motor babbling, followed by 15 refinement trials (each lasting 20 seconds) to achieve specific cyclical movements. This process mirrors the exploration-exploitation paradigm observed in mammals. With each refinement, the robot progressively improves upon its initial ""good enough"" solution. Our results serve as a proof-of-concept, demonstrating the hardware-in-the-loop system's ability to learn the control of a tendon-driven quadruped with redundancies in just a few minutes to achieve functional and adaptive cyclical non-convex movements. By advancing autonomous control in robotic locomotion, our approach paves the way for robots capable of dynamically adjusting to new environments, ensuring sustained adaptability and performance.",2025-08-21,2026-08-26T07:47:46.906454,Hesam Azadjou; Suraj Chakravarthi Raja; Ali Marjaninejad; Francisco J. Valero‐Cuevas,Robotic Locomotion and Control; Robot Manipulation and Learning; Zebrafish Biomedical Research Applications,https://arxiv.org/abs/2508.15160,https://openalex.org/W4416050555,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.15536,2508.15536,A Novel Mutation Based Method for Detecting FPGA Logic Synthesis Tool Bugs,"FPGA (Field-Programmable Gate Array) logic synthesis tools are key components in the EDA (Electronic Design Automation) toolchain. They convert hardware designs written in description languages such as Verilog into gate-level representations for FPGAs. However, defects in these tools may lead to unexpected behaviors and pose security risks. Therefore, it is crucial to harden these tools through testing. Although several methods have been proposed to automatically test FPGA logic synthesis tools, the challenge remains of insufficient semantic and logical complexity in test programs. In this paper, we propose VERMEI, a new method for testing FPGA logic synthesis tools. VERMEI consists of three modules: preprocessing, equivalent mutation, and bug identification. The preprocessing module identifies zombie logic (inactive code with no impact on the circuit output) in seed programs through simulation and coverage analysis. The equivalent mutation module generates equivalent variants of seed programs by pruning or inserting logic fragments in zombie areas. It uses Bayesian sampling to extract logic fragments from historical Verilog designs, making the generated variants have complex control flows and structures. The bug identification module, based on differential testing, compares the synthesized outputs of seed and variant programs to identify bugs. Experiments on Yosys, Vivado, and Quartus demonstrate that VERMEI outperforms the state-of-the-art methods. Within five months, VERMEI reported 15 bugs to vendors, 9 of which were confirmed as new.",2025-08-21,2026-08-26T07:47:46.906454,Yi Zhang; Jiang He; Xiaochen Li; Shikai Guo; Peiyu Zou; Zun Wang,Software Testing and Debugging Techniques; Formal Methods in Verification; Radiation Effects in Electronics,https://arxiv.org/abs/2508.15536,https://openalex.org/W4416051218,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.15685,2508.15685,Row-Column Hybrid Grouping for Fault-Resilient Multi-Bit Weight Representation on IMC Arrays,"This paper addresses two critical challenges in analog In-Memory Computing (IMC) systems that limit their scalability and deployability: the computational unreliability caused by stuck-at faults (SAFs) and the high compilation overhead of existing fault-mitigation algorithms, namely Fault-Free (FF). To overcome these limitations, we first propose a novel multi-bit weight representation technique, termed row-column hybrid grouping, which generalizes conventional column grouping by introducing redundancy across both rows and columns. This structural redundancy enhances fault tolerance and can be effectively combined with existing fault-mitigation solutions. Second, we design a compiler pipeline that reformulates the fault-aware weight decomposition problem as an Integer Linear Programming (ILP) task, enabling fast and scalable compilation through off-the-shelf solvers. Further acceleration is achieved through theoretical insights that identify fault patterns amenable to trivial solutions, significantly reducing computation. Experimental results on convolutional networks and small language models demonstrate the effectiveness of our approach, achieving up to 8%p improvement in accuracy, 150x faster compilation, and 2x energy efficiency gain compared to existing baselines.",2025-08-21,2026-08-26T07:47:46.906454,Kang Eun Jeon; Sangheum Yeon; Jinhee Kim; Hyeonsu Bang; Johnny Rhe; Jong Hwan Ko,Embedded Systems Design Techniques; Interconnection Networks and Systems; Low-power high-performance VLSI design,https://arxiv.org/abs/2508.15685,https://openalex.org/W4416051420,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
2508.15734,2508.15734,Measuring the environmental impact of delivering AI at Google Scale,"The transformative power of AI is undeniable - but as user adoption accelerates, so does the need to understand and mitigate the environmental impact of AI serving. However, no studies have measured AI serving environmental metrics in a production environment. This paper addresses this gap by proposing and executing a comprehensive methodology for measuring the energy usage, carbon emissions, and water consumption of AI inference workloads in a large-scale, AI production environment. Our approach accounts for the full stack of AI serving infrastructure - including active AI accelerator power, host system energy, idle machine capacity, and data center energy overhead. Through detailed instrumentation of Google's AI infrastructure for serving the Gemini AI assistant, we find the median Gemini Apps text prompt consumes 0.24 Wh of energy - a figure substantially lower than many public estimates. We also show that Google's software efficiency efforts and clean energy procurement have driven a 33x reduction in energy consumption and a 44x reduction in carbon footprint for the median Gemini Apps text prompt over one year. We identify that the median Gemini Apps text prompt uses less energy than watching nine seconds of television (0.24 Wh) and consumes the equivalent of five drops of water (0.26 mL). While these impacts are low compared to other daily activities, reducing the environmental impact of AI serving continues to warrant important attention. Towards this objective, we propose that a comprehensive measurement of AI serving environmental metrics is critical for accurately comparing models, and to properly incentivize efficiency gains across the full AI serving stack.",2025-08-21,2026-08-26T07:47:46.906454,"Cooper Elsworth; Keguo Huang; David A. Patterson; Ian Schneider; Robert A. Sedivy; Goodman, Savannah; Ben Townsend; Parthasarathy Ranganathan; Jeff Dean; Amin Vahdat; Ben Gomes; James Manyika",Green IT and Sustainability; Ethics and Social Impacts of AI; IoT and Edge/Fog Computing,https://arxiv.org/abs/2508.15734,https://openalex.org/W4416051525,OpenAlex,2026-09-13T06:45:46.732317+00:00,2025년 1~8월,반도체·AI 하드웨어
