paper_id,version_id,title,abstract,published,updated,authors,categories,source_url,metadata_url,metadata_source,collected_at,period,field
2503.03935,2503.03935,LLM-Powered Prediction of Hyperglycemia and Discovery of Behavioral Treatment Pathways from Wearables and Diet,"Postprandial hyperglycemia, marked by the blood glucose level exceeding the normal range after consuming a meal, is a critical indicator of progression toward type 2 diabetes in people with prediabetes and in healthy individuals. A key metric for understanding blood glucose dynamics after eating is the postprandial Area Under the Curve (AUC). Predicting postprandial AUC in advance based on a person's lifestyle factors, such as diet and physical activity level, and explaining the factors that affect postprandial blood glucose could allow an individual to adjust their behavioral choices accordingly to maintain normal glucose levels. In this work, we develop an explainable machine learning solution, GlucoLens, that takes sensor-driven inputs and utilizes advanced data processing, large language models, and trainable machine learning models to estimate postprandial AUC and predict hyperglycemia from diet, physical activity, and recent glucose patterns. We use data obtained using wearables in a five-week clinical trial of 10 adults who worked full-time to develop and evaluate the proposed computational model that integrates wearable sensing, multimodal data, and machine learning. Our machine learning model takes multimodal data from wearable activity and glucose monitoring sensors, along with food and work logs, and provides an interpretable prediction of the postprandial glucose patterns. GlucoLens achieves a normalized root mean squared error (NRMSE) of 0.123 in its best configuration. On average, the proposed technology provides a 16% better predictive performance compared to the comparison models. Additionally, our technique predicts hyperglycemia with an accuracy of 79% and an F1 score of 0.749 and recommends different treatment options to help avoid hyperglycemia through diverse counterfactual explanations. With systematic experiments and discussion supported by established prior research, we show that our method is generalizable and consistent with clinical understanding.",2025-08-31,2026-08-26T07:47:46.906454,Abdullah Mamun; Asiful Arefeen; Susan B. Racette; Dorothy D. Sears; Corrie M. Whisner; Matthew P. Buman; Hassan Ghasemzadeh,Diabetes Management and Research; Heart Rate Variability and Autonomic Control; Non-Invasive Vital Sign Monitoring,https://arxiv.org/abs/2503.03935,https://openalex.org/W4413929917,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.00934,2509.00934,MedCOD: Enhancing English-to-Spanish Medical Translation of Large Language Models Using Enriched Chain-of-Dictionary Framework,"We present MedCOD (Medical Chain-of-Dictionary), a hybrid framework designed to improve English-to-Spanish medical translation by integrating domain-specific structured knowledge into large language models (LLMs). MedCOD integrates domain-specific knowledge from both the Unified Medical Language System (UMLS) and the LLM-as-Knowledge-Base (LLM-KB) paradigm to enhance structured prompting and fine-tuning. We constructed a parallel corpus of 2,999 English-Spanish MedlinePlus articles and a 100-sentence test set annotated with structured medical contexts. Four open-source LLMs (Phi-4, Qwen2.5-14B, Qwen2.5-7B, and LLaMA-3.1-8B) were evaluated using structured prompts that incorporated multilingual variants, medical synonyms, and UMLS-derived definitions, combined with LoRA-based fine-tuning. Experimental results demonstrate that MedCOD significantly improves translation quality across all models. For example, Phi-4 with MedCOD and fine-tuning achieved BLEU 44.23, chrF++ 28.91, and COMET 0.863, surpassing strong baseline models like GPT-4o and GPT-4o-mini. Ablation studies confirm that both MedCOD prompting and model adaptation independently contribute to performance gains, with their combination yielding the highest improvements. These findings highlight the potential of structured knowledge integration to enhance LLMs for medical translation tasks.",2025-08-31,2026-08-26T07:47:46.906454,"Md. Shahidul Salim; Lian Fu; Ramakrishnan, Arav Adikesh; Zonghai Yao; Hong Yu",Natural Language Processing Techniques; Topic Modeling; Biomedical Text Mining and Ontologies,https://arxiv.org/abs/2509.00934,https://openalex.org/W4414691214,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.04481,2509.04481,Narrative-to-Scene Generation: An LLM-Driven Pipeline for 2D Game Environments,"Recent advances in large language models (LLMs) enable compelling story generation, but connecting narrative text to playable visual environments remains an open challenge in procedural content generation (PCG). We present a lightweight pipeline that transforms short narrative prompts into a sequence of 2D tile-based game scenes, reflecting the temporal structure of stories. Given an LLM-generated narrative, our system identifies three key time frames, extracts spatial predicates in the form of ""Object-Relation-Object"" triples, and retrieves visual assets using affordance-aware semantic embeddings from the GameTileNet dataset. A layered terrain is generated using Cellular Automata, and objects are placed using spatial rules grounded in the predicate structure. We evaluated our system in ten diverse stories, analyzing tile-object matching, affordance-layer alignment, and spatial constraint satisfaction across frames. This prototype offers a scalable approach to narrative-driven scene generation and lays the foundation for future work on multi-frame continuity, symbolic tracking, and multi-agent coordination in story-centered PCG.",2025-08-31,2026-08-26T07:47:46.906454,Yi‐Chun Chen; Arnav Jhala,Artificial Intelligence in Games; Human Motion and Animation; Video Analysis and Summarization,https://arxiv.org/abs/2509.04481,https://openalex.org/W4414759501,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.00882,2509.00882,VULSOLVER: Vulnerability Detection via LLM-Driven Constraint Solving,"Traditional vulnerability detection methods rely heavily on predefined rule matching, which often fails to capture vulnerabilities accurately. With the rise of large language models (LLMs), leveraging their ability to understand code semantics has emerged as a promising direction for achieving more accurate and efficient vulnerability detection. However, current LLM-based approaches face significant challenges: instability in model outputs, degraded performance with long context, and hallucination. As a result, many existing solutions either use LLMs merely to enrich predefined rule sets, thereby keeping the detection process fundamentally rule-based, or over-rely on them, leading to poor robustness. To address these challenges, we propose a constraint-solving approach powered by LLMs named VULSOLVER. By modeling vulnerability detection as a constraint-solving problem, and by integrating static application security testing (SAST) with the semantic reasoning capabilities of LLMs, our method enables the LLM to act like a professional human security expert. We assess VULSOLVER on the OWASP Benchmark (1,023 labeled samples), achieving 97.85% accuracy, 97.97% F1-score, and 100% recall. Applied to widely-used open-source projects, VULSOLVER identified 15 previously unknown high-severity vulnerabilities (CVSS 7.5-9.8), demonstrating its effectiveness in real-world security analysis.",2025-08-31,2026-08-26T07:47:46.906454,Xiang Li; Youfeng Su; Jiahao Liu; Zhiwei Lin; Y. H. Hou; Peiming Gao; Yuanchao Zhang,Web Application Security Vulnerabilities; Network Security and Intrusion Detection; Advanced Malware Detection Techniques,https://arxiv.org/abs/2509.00882,https://openalex.org/W4414763653,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.00700,2509.00700,Prompt the Unseen: Evaluating Visual-Language Alignment Beyond Supervision,"Vision-Language Models (VLMs) combine a vision encoder and a large language model (LLM) through alignment training, showing strong performance on multimodal tasks. A central component in this architecture is the projection layer, which maps visual features into the LLM's embedding space. Despite its importance, its ability to generalize to unseen visual concepts has not been systematically evaluated. To address this, we propose a benchmark for evaluating projection-layer generalization. We adapt object detection datasets (rich in fine-grained annotations) into a prompting format and design train/test splits with disjoint label sets, enabling precise control over seen and unseen concept separation. Experimental results show that the projection layer retains about 79 to 88 percent of the performance on unseen classes compared to seen ones across various settings, suggesting a non-trivial level of generalization even without explicit alignment supervision on those concepts. We further analyze this behavior through a mechanistic interpretability lens. Our findings indicate that the feed-forward network in the projection layer functions like a key-value memory, processing seen and unseen tokens in similar ways. This study introduces a new evaluation framework for alignment generalization and highlights the potential for efficient VLM training with limited aligned data.",2025-08-31,2026-08-26T07:47:46.906454,Raehyuk Jung; Shimeng Yu; Hyunjung Shim,Reflective Practices in Education,https://arxiv.org/abs/2509.00700,https://openalex.org/W4415058058,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.05331,2509.05331,ForensicsData: A Digital Forensics Dataset for Large Language Models,"The growing complexity of cyber incidents presents significant challenges for digital forensic investigators, especially in evidence collection and analysis. Public resources are still limited because of ethical, legal, and privacy concerns, even though realistic datasets are necessary to support research and tool developments. To address this gap, we introduce ForensicsData, an extensive Question-Context-Answer (Q-C-A) dataset sourced from actual malware analysis reports. It consists of more than 5,000 Q-C-A triplets. A unique workflow was used to create the dataset, which extracts structured data, uses large language models (LLMs) to transform it into Q-C-A format, and then uses a specialized evaluation process to confirm its quality. Among the models evaluated, Gemini 2 Flash demonstrated the best performance in aligning generated content with forensic terminology. ForensicsData aims to advance digital forensics by enabling reproducible experiments and fostering collaboration within the research community.",2025-08-31,2026-08-26T07:47:46.906454,Youssef Chakir; Iyad Lahsen-Cherif,Natural Language Processing Techniques; Topic Modeling; Digital and Cyber Forensics,https://arxiv.org/abs/2509.05331,https://openalex.org/W4415058882,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2510.06223,2510.06223,A Multimodal GUI Architecture for Interfacing with LLM-Based Conversational Assistants,"Advances in large language models (LLMs) and real-time speech recognition now make it possible to issue any graphical user interface (GUI) action through natural language and receive the corresponding system response directly through the GUI. Most production applications were never designed with speech in mind. This article provides a concrete architecture that enables GUIs to interface with LLM-based speech-enabled assistants. The architecture makes an application's navigation graph and semantics available through the Model Context Protocol (MCP). The ViewModel, part of the MVVM (Model-View-ViewModel) pattern, exposes the application's capabilities to the assistant by supplying both tools applicable to a currently visible view and application-global tools extracted from the GUI tree router. This architecture facilitates full voice accessibility while ensuring reliable alignment between spoken input and the visual interface, accompanied by consistent feedback across modalities. It future-proofs apps for upcoming OS super assistants that employ computer use agents (CUAs) and natively consume MCP if an application provides it. To address concerns about privacy and data security, the practical effectiveness of locally deployable, open-weight LLMs for speech-enabled multimodal UIs is evaluated. Findings suggest that recent smaller open-weight models approach the performance of leading proprietary models in overall accuracy and require enterprise-grade hardware for fast responsiveness. A demo implementation of the proposed architecture can be found at https://github.com/hansvdam/langbar",2025-08-31,2026-08-26T07:47:46.906454,H.G.W. van Dam,Speech and dialogue systems; Natural Language Processing Techniques; AI in Service Interactions,https://arxiv.org/abs/2510.06223,https://openalex.org/W4415096735,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.00787,2509.00787,Image-to-Brain Signal Generation for Visual Prosthesis with CLIP Guided Multimodal Diffusion Models,"Visual prostheses hold great promise for restoring vision in blind individuals. While researchers have successfully utilized M/EEG signals to evoke visual perceptions during the brain decoding stage of visual prostheses, the complementary process of converting images into M/EEG signals in the brain encoding stage remains largely unexplored, hindering the formation of a complete functional pipeline. In this work, we present a novel image-to-brain signal framework that generates M/EEG from images by leveraging the diffusion transformer architecture enhanced with cross-attention mechanisms. Specifically, we employ a diffusion transformer (DiT) architecture based on denoising diffusion implicit models (DDIM) to achieve brain signal generation. To realize the goal of image-to-brain signal conversion, we use cross-attention mechanisms to align brain signal embeddings with CLIP image embeddings. Moreover, we leverage large language models (LLMs) to generate image captions, and concatenate the resulting CLIP text embeddings with CLIP image embeddings to form unified embeddings for cross-attention alignment, enabling our model to capture core semantic information. Moreover, to capture core semantic information, we use large language models (LLMs) to generate descriptive and semantically accurate captions for images. Furthermore, we introduce a learnable spatio-temporal position encoding that combines brain region embeddings with temporal embeddings to capture both spatial and temporal characteristics of brain signals. We evaluate the framework on two multimodal benchmark datasets (THINGS-EEG2 and THINGS-MEG) and demonstrate that it generates biologically plausible brain signals.",2025-08-31,2026-08-26T07:47:46.906454,"Guoliang Xu; Lai, Zhao-Rong; Tang, Yuting; Song, Yonghao; Zhou, Guoxu; wang, Boyu; Zhu, Jian; Long, Jinyi",EEG and Brain-Computer Interfaces; Advanced Memory and Neural Computing; Neuroscience and Neural Engineering,https://arxiv.org/abs/2509.00787,https://openalex.org/W4415249934,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2510.07321,2510.07321,"How human is the machine? Evidence from 66,000 Conversations with Large Language Models","When Artificial Intelligence (AI) is used to replace consumers (e.g., synthetic data), it is often assumed that AI emulates established consumers, and more generally human behaviors. Ten experiments with Large Language Models (LLMs) investigate if this is true in the domain of well-documented biases and heuristics. Across studies we observe four distinct types of deviations from human-like behavior. First, in some cases, LLMs reduce or correct biases observed in humans. Second, in other cases, LLMs amplify these same biases. Third, and perhaps most intriguingly, LLMs sometimes exhibit biases opposite to those found in humans. Fourth, LLMs' responses to the same (or similar) prompts tend to be inconsistent (a) within the same model after a time delay, (b) across models, and (c) among independent research studies. Such inconsistencies can be uncharacteristic of humans and suggest that, at least at one point, LLMs' responses differed from humans. Overall, unhuman-like responses are problematic when LLMs are used to mimic or predict consumer behavior. These findings complement research on synthetic consumer data by showing that sources of bias are not necessarily human-centric. They also contribute to the debate about the tasks for which consumers, and more generally humans, can be replaced by AI.",2025-08-31,2026-08-26T07:47:46.906454,Antonios Stamatogiannakis; Arsham Ghodsinia; Sepehr Etminanrad; Dilney Gonçalves; David Santos,Topic Modeling,https://arxiv.org/abs/2510.07321,https://openalex.org/W4415318348,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
2509.00974,2509.00974,RPRO: Ranked Preference Reinforcement Optimization for Enhancing Medical QA and Diagnostic Reasoning,"Medical question answering requires advanced reasoning that integrates domain knowledge with logical inference. However, existing large language models (LLMs) often generate reasoning chains that lack factual accuracy and clinical reliability. We propose Ranked Preference Reinforcement Optimization (RPRO), a novel framework that combines reinforcement learning with preference-driven reasoning refinement to enhance clinical chain-of-thought (CoT) performance. RPRO distinguishes itself from prior approaches by employing task-adaptive reasoning templates and a probabilistic evaluation mechanism that aligns model outputs with established clinical workflows, while automatically identifying and correcting low-quality reasoning chains. Unlike traditional pairwise preference methods, RPRO introduces a groupwise ranking optimization based on the Bradley--Terry model and incorporates KL-divergence regularization for stable training. Experiments on PubMedQA, MedQA-USMLE, and a real-world clinical dataset from Far Eastern Memorial Hospital (FEMH) demonstrate consistent improvements over strong baselines. Remarkably, our 2B-parameter model outperforms much larger 7B--20B models, including medical-specialized variants. These findings demonstrate that combining preference optimization with quality-driven refinement provides a scalable and clinically grounded approach to building more reliable medical LLMs.",2025-08-31,2026-08-26T07:47:46.906454,"Cheng Ting Hsu; Jun-En Ding; Hui Huang Hsu; Hsu, Chih-Ho; Yao, Li-Hung; Chun-Chieh Liao; Feng Liu; Fang‐Ming Hung",Topic Modeling; Machine Learning in Healthcare; Multimodal Machine Learning Applications,https://arxiv.org/abs/2509.00974,https://openalex.org/W4416021329,OpenAlex,2026-09-13T06:45:53.834029+00:00,2025년 1~8월,AI·소프트웨어
